numba_parallel.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.399, Time: 2.022684 s
         3497319 function calls (3381659 primitive calls) in 13.722 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.083    0.007 codegen.py:1402(_add_module)
       12    0.000    0.000    0.083    0.007 codegen.py:1105(add_module)
        3    0.000    0.000    0.083    0.028 callwrapper.py:126(build_wrapper)
     2128    0.008    0.000    0.082    0.000 ffi.py:392(__del__)
        1    0.000    0.000    0.082    0.082 polar.py:1(<module>)
      297    0.003    0.000    0.081    0.000 lowering.py:1532(storevar)
      984    0.004    0.000    0.080    0.000 artist.py:1536(is_alias)
       29    0.000    0.000    0.080    0.003 codegen.py:728(add_linking_library)
       12    0.002    0.000    0.080    0.007 codegen.py:1098(_load_defined_symbols)
       11    0.001    0.000    0.079    0.007 typed_passes.py:888(run_pass)
        9    0.000    0.000    0.079    0.009 typeconv.py:96(promote_unsafe)
      757    0.005    0.000    0.079    0.000 value.py:157(name)
      859    0.008    0.000    0.079    0.000 <frozen importlib._bootstrap_external>:1187(get_data)
      792    0.003    0.000    0.078    0.000 module.py:251(_next)
    12058    0.046    0.000    0.078    0.000 ir.py:1293(find_insts)
      346    0.001    0.000    0.077    0.000 base.py:42(find)
      577    0.004    0.000    0.077    0.000 context.py:360(_call_incref_decref)
       94    0.004    0.000    0.077    0.001 __init__.py:1450(_preprocess_data)
     2162    0.008    0.000    0.076    0.000 ffi.py:349(close)
34938/32503    0.058    0.000    0.076    0.000 {built-in method builtins.hash}
     5332    0.021    0.000    0.075    0.000 _utils.py:16(register)
    11666    0.039    0.000    0.075    0.000 event.py:270(on_end)
      456    0.003    0.000    0.074    0.000 artist.py:1530(number_of_parameters)
       12    0.000    0.000    0.073    0.006 codegen.py:1305(_scan_and_fix_unresolved_refs)
      330    0.019    0.000    0.072    0.000 numpy_support.py:380(ufunc_find_matching_loop)
       11    0.006    0.001    0.072    0.007 byteflow.py:86(run)
       11    0.005    0.000    0.072    0.007 interpreter.py:986(peep_hole_delete_with_exit)
       40    0.001    0.000    0.071    0.002 cgutils.py:101(__init__)
       11    0.000    0.000    0.071    0.006 untyped_passes.py:118(run_pass)
3436/3429    0.014    0.000    0.071    0.000 context.py:628(can_convert)
      329    0.003    0.000    0.071    0.000 lowering.py:1578(delvar)
     2248    0.014    0.000    0.070    0.000 base.py:368(insert_func_defn)
    24517    0.042    0.000    0.070    0.000 {method 'add' of 'set' objects}
    18227    0.046    0.000    0.070    0.000 _parser.py:168(__getitem__)
      108    0.001    0.000    0.070    0.001 base.py:49(_find)
      436    0.003    0.000    0.070    0.000 context.py:441(resolve_value_type)
11080/6662    0.032    0.000    0.069    0.000 <frozen abc>:121(__subclasscheck__)
        2    0.001    0.001    0.069    0.034 unicode.py:1(<module>)
        1    0.000    0.000    0.069    0.069 lines.py:1(<module>)
     2698    0.014    0.000    0.069    0.000 abstract.py:49(_intern)
        3    0.000    0.000    0.068    0.023 typeconv.py:110(unsafe_unsafe)
     9602    0.022    0.000    0.067    0.000 {built-in method builtins.issubclass}
14426/14082    0.046    0.000    0.067    0.000 abstract.py:124(__eq__)
  919/577    0.008    0.000    0.067    0.000 context.py:343(get_meminfos)
  133/131    0.001    0.000    0.066    0.001 __init__.py:73(import_module)
        1    0.000    0.000    0.065    0.065 callconv.py:1(<module>)
      638    0.004    0.000    0.065    0.000 value.py:231(is_declaration)
     4409    0.030    0.000    0.065    0.000 artist.py:1549(aliased_name)
      239    0.004    0.000    0.065    0.000 extending.py:215(decorate)
  133/131    0.001    0.000    0.064    0.000 <frozen importlib._bootstrap>:1375(_gcd_import)
        1    0.000    0.000    0.064    0.064 cpu.py:1(<module>)
        1    0.000    0.000    0.064    0.064 multiarray.py:1(<module>)
        1    0.000    0.000    0.064    0.064 cm.py:1(<module>)
       12    0.000    0.000    0.064    0.005 castgraph.py:128(safe)
10097/10032    0.024    0.000    0.063    0.000 _utils.py:54(get_reference)
        2    0.000    0.000    0.063    0.032 base.py:1(<module>)
     1456    0.006    0.000    0.063    0.000 ssa.py:206(_run_ssa_block_pass)
3420/3369    0.015    0.000    0.062    0.000 {built-in method builtins.any}
     1396    0.031    0.000    0.061    0.000 inspect.py:3029(__init__)
      108    0.002    0.000    0.061    0.001 base.py:56(_select_compatible)
    39847    0.061    0.000    0.061    0.000 abstract.py:96(key)
       65    0.058    0.001    0.061    0.001 {built-in method _io.open}
       45    0.000    0.000    0.060    0.001 inline_closurecall.py:1466(match)
     1211    0.017    0.000    0.060    0.000 _docscrape.py:67(read_to_condition)
    44397    0.059    0.000    0.060    0.000 {method 'extend' of 'list' objects}
       45    0.005    0.000    0.060    0.001 inline_closurecall.py:1479(_inline_const_arraycall)
     3751    0.023    0.000    0.060    0.000 target_extension.py:53(get_local_target)
     1183    0.009    0.000    0.059    0.000 base.py:103(_match_arglist)
    21456    0.036    0.000    0.058    0.000 {built-in method _abc._abc_instancecheck}
4194/3828    0.013    0.000    0.058    0.000 contextlib.py:141(__exit__)
        9    0.000    0.000    0.058    0.006 callconv.py:122(raise_error)
     6089    0.033    0.000    0.058    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     1328    0.017    0.000    0.057    0.000 <frozen importlib._bootstrap>:304(acquire)
      372    0.003    0.000    0.057    0.000 lowering.py:1634(decref)
      179    0.005    0.000    0.057    0.000 cgutils.py:364(alloca_once)
      778    0.011    0.000    0.057    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      230    0.001    0.000    0.057    0.000 targetconfig.py:188(__hash__)
     1339    0.029    0.000    0.057    0.000 functools.py:35(update_wrapper)
      275    0.011    0.000    0.056    0.000 analysis.py:235(compute_cfg_from_blocks)
      281    0.001    0.000    0.056    0.000 nrt.py:19(initialize)
        1    0.000    0.000    0.056    0.056 Image.py:1(<module>)
    14038    0.037    0.000    0.056    0.000 event.py:66(_guard_kind)
