LebwohlLasher.py: Size: 100, Steps: 10, T*: 0.500: Order: 0.276, Time: 4.300005 s
         3701604 function calls (3627276 primitive calls) in 51.261 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      319    0.001    0.000    0.020    0.000 transforms.py:2409(transform_affine)
      223    0.003    0.000    0.020    0.000 enum.py:513(__prepare__)
      528    0.003    0.000    0.020    0.000 transforms.py:1341(__add__)
       10    0.000    0.000    0.020    0.002 PngImagePlugin.py:1142(write)
       36    0.001    0.000    0.020    0.001 patches.py:583(_draw_paths_with_artist_properties)
       24    0.006    0.000    0.020    0.001 util.py:242(_collapse_string_to_ranges)
      290    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       24    0.001    0.000    0.020    0.001 _base.py:4089(format_ydata)
     3192    0.013    0.000    0.019    0.000 transforms.py:1770(__init__)
       12    0.000    0.000    0.019    0.002 core.py:1274(parse_string)
        1    0.000    0.000    0.019    0.019 fromnumeric.py:1(<module>)
       56    0.019    0.000    0.019    0.000 {method 'write' of '_io.BufferedRandom' objects}
        1    0.000    0.000    0.019    0.019 _secondary_axes.py:1(<module>)
        8    0.000    0.000    0.019    0.002 core.py:6454(__init__)
     28/7    0.000    0.000    0.019    0.003 core.py:5163(leave_whitespace)
       86    0.001    0.000    0.019    0.000 font_manager.py:1363(_find_fonts_by_props)
     9470    0.019    0.000    0.019    0.000 {method 'split' of 'str' objects}
