full_vector_test#.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.267, Time: 4.033049 s
         2764173 function calls (2733146 primitive calls) in 12.278 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.023    0.002 backend_bases.py:1384(__init__)
        7    0.004    0.001    0.022    0.003 enum.py:918(_convert_)
     4683    0.014    0.000    0.022    0.000 {built-in method builtins.delattr}
     28/7    0.000    0.000    0.022    0.003 core.py:5163(leave_whitespace)
     2107    0.005    0.000    0.022    0.000 {built-in method _abc._abc_instancecheck}
      265    0.002    0.000    0.022    0.000 overrides.py:144(decorator)
       91    0.001    0.000    0.022    0.000 typing.py:694(Union)
        1    0.000    0.000    0.022    0.022 _tricontour.py:1(<module>)
      148    0.001    0.000    0.022    0.000 {built-in method builtins.all}
        1    0.000    0.000    0.022    0.022 category.py:1(<module>)
    16338    0.022    0.000    0.022    0.000 {method 'get' of 'mappingproxy' objects}
      528    0.012    0.000    0.022    0.000 font_manager.py:700(__hash__)
     4948    0.014    0.000    0.021    0.000 {built-in method builtins.sorted}
    15300    0.021    0.000    0.021    0.000 __init__.py:167(<genexpr>)
  646/622    0.003    0.000    0.021    0.000 contextlib.py:141(__exit__)
      445    0.002    0.000    0.021    0.000 core.py:575(copy)
    85/30    0.001    0.000    0.020    0.001 typing.py:1294(__getitem__)
   306/12    0.004    0.000    0.020    0.002 core.py:916(_parseNoCache)
       94    0.001    0.000    0.020    0.000 text.py:1316(set_fontproperties)
    72/12    0.002    0.000    0.020    0.002 core.py:4605(parseImpl)
      141    0.000    0.000    0.020    0.000 core.py:4523(<genexpr>)
       54    0.001    0.000    0.020    0.000 patches.py:307(get_transform)
        1    0.000    0.000    0.020    0.020 _array_like.py:1(<module>)
     5427    0.013    0.000    0.020    0.000 _parser.py:164(__len__)
        7    0.002    0.000    0.020    0.003 core.py:3167(__init__)
      229    0.004    0.000    0.019    0.000 _compiler.py:516(_compile_info)
       12    0.000    0.000    0.019    0.002 axis.py:1523(get_majorticklocs)
       24    0.006    0.000    0.019    0.001 util.py:242(_collapse_string_to_ranges)
